City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,kasongo-lunda,-6.4667,16.8167,36.31,20,85,2.17,CD,1722788490
211,brigantine,39.4101,-74.3646,27.11,77,75,4.12,US,1722788492
212,doctor juan leon mallorquin,-25.4,-55.2667,18.85,28,75,4.43,PY,1722788493
213,jean-rabel,19.8533,-73.1917,32.02,60,25,3.67,HT,1722788494
214,guasave,25.5667,-108.45,30.79,66,93,3.23,MX,1722788497
215,guixi,28.2886,117.2133,26.73,81,84,2.52,CN,1722788498
216,perelyub,51.8667,50.3667,25.12,37,95,2.65,RU,1722788499
217,yuanping,38.7153,112.7575,19.25,88,79,1.69,CN,1722788500
218,fale old settlement,-9.3852,-171.2468,27.52,81,88,6.69,TK,1722788501
219,butembo,0.15,29.2833,18.61,74,57,0.83,CD,1722788503
220,afaahiti,-17.75,-149.2833,19.93,76,86,6.5,PF,1722788504
221,ilulissat,69.2167,-51.1,5.01,93,75,2.06,GL,1722788505
222,battambang,13.1027,103.1982,25.75,89,99,1.96,KH,1722788506
223,vadso,70.0744,29.7487,15.49,94,100,6.17,NO,1722788507
224,chibougamau,49.9168,-74.3659,17.79,59,75,3.09,CA,1722788239
225,narvik,68.4384,17.4272,24.1,68,94,0.43,NO,1722788510
226,badiyah,22.45,58.8,35.95,33,94,1.78,OM,1722788511
227,yuzhno-kurilsk,44.0306,145.8556,16.48,98,100,2.84,RU,1722788512
228,nuku'alofa,-21.1333,-175.2,22.19,83,100,2.06,TO,1722788513
229,shanwei,22.782,115.3475,29.35,83,59,3.58,CN,1722788514
230,recife,-8.0539,-34.8811,28.02,65,40,6.17,BR,1722788192
231,xincheng,33.6333,115.1833,29.34,77,98,4.33,CN,1722788517
232,lihue,21.9789,-159.3672,25.77,81,100,5.14,US,1722788518
233,langsa,4.4683,97.9683,23.74,93,100,0.51,ID,1722788519
234,kirkwood,38.5834,-90.4068,32.61,64,20,2.06,US,1722788520
235,codrington,-38.2667,141.9667,6.35,79,100,3.02,AU,1722788522
236,okhotsk,59.3833,143.3,12.34,83,100,1.98,RU,1722788523
237,lazaro cardenas,17.9583,-102.2,28.79,66,70,1.59,MX,1722788524
238,tromso,69.6496,18.957,23.01,46,0,3.09,NO,1722788525
239,ulsteinvik,62.3432,5.8487,15.5,87,99,0.45,NO,1722788526
240,cangzhou,38.3167,116.8667,26.67,84,100,1.22,CN,1722788529
241,tapes,-30.6733,-51.3958,14.96,95,100,3.81,BR,1722788530
242,hovd,48.0056,91.6419,22.19,34,43,1.16,MN,1722788531
243,banjar,-8.19,114.9675,22.27,84,38,3.38,ID,1722788532
244,ocean shores,46.9737,-124.1563,16.68,89,100,3.09,US,1722788534
245,college,64.8569,-147.8028,14.33,84,20,2.57,US,1722788535
246,florence,43.7667,11.25,35.59,34,0,4.63,IT,1722788536
247,sao joao da barra,-21.6403,-41.0511,28.05,68,0,5.97,BR,1722788537
248,vorgashor,67.5833,63.95,13.42,59,99,6.2,RU,1722788538
249,cabrobo,-8.5142,-39.31,29.06,40,78,8.3,BR,1722788539
250,shahrak,34.1074,64.3052,20.58,22,0,2.99,AF,1722788541
251,kokoda,-8.8785,147.7407,24.27,99,100,1.17,PG,1722788542
252,taitung city,22.7583,121.1444,27.66,83,9,1.11,TW,1722788543
253,ketchikan,55.3422,-131.6461,18.26,59,0,6.17,US,1722788544
254,kotel'nich,58.3089,48.348,18.88,77,97,1.79,RU,1722788545
255,yemetsk,63.4721,41.7941,20.09,67,97,2.15,RU,1722788547
256,al fuwayliq,26.4432,43.2534,36.07,12,23,5.29,SA,1722788548
257,fuxin,42.0156,121.6589,22.66,98,87,2.66,CN,1722788549
258,barra,-11.0894,-43.1417,28.99,31,0,3.99,BR,1722788550
259,kenai,60.5544,-151.2583,12.86,87,100,0.0,US,1722788552
260,mejit,10.2753,170.8646,28.45,76,66,4.49,MH,1722788554
261,kolonia,50.9333,6.95,22.75,65,0,2.06,DE,1722788327
262,salinopolis,-0.6136,-47.3561,30.38,60,21,5.66,BR,1722788556
263,den burg,53.0542,4.7972,19.97,68,100,4.12,NL,1722788557
